,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3007,3165107,São Tomás de Aquino,MG,509.35543478260865,570.6673913043478,515.7478260869566,539.2847826086957,516.9565217391304
3008,3165206,São Thomé das Letras,MG,509.10833333333335,579.4737373737374,529.9363636363636,566.2854166666667,523.4343434343434
3009,3165305,São Vicente de Minas,MG,501.825786163522,581.3907975460122,530.9159509202455,541.3088050314466,575.2147239263803
3010,3165404,Sapucaí-Mirim,MG,481.93838383838386,560.683486238532,521.3678899082569,554.9373737373737,503.8532110091743
3011,3165503,Sardoá,MG,481.9684782608696,555.562105263158,509.4084210526316,521.4641304347825,506.7368421052632
3012,3165537,Sarzedo,MG,499.4698389458273,570.9293956043956,529.2895604395604,540.9131771595901,501.7032967032967
3013,3165552,Setubinha,MG,465.7027027027027,540.604705882353,503.71058823529415,510.68243243243245,444.11764705882354
3014,3165560,Sem-Peixe,MG,480.40535714285716,558.1440677966102,503.01355932203387,532.5732142857142,433.22033898305085
3015,3165578,Senador Amaral,MG,475.32758620689657,557.3555555555555,514.5020202020202,517.5505747126437,456.3636363636364
3016,3165602,Senador Cortes,MG,511.4666666666667,562.3931034482758,539.3379310344827,577.6166666666667,502.7586206896552
3017,3165701,Senador Firmino,MG,515.3694029850747,594.2644927536232,538.3644927536232,569.605223880597,544.6376811594203
3018,3165800,Senador José Bento,MG,505.7444444444444,599.1,533.04,605.6777777777778,555.0
3019,3165909,Senador Modestino Gonçalves,MG,483.04684684684685,552.5944000000001,502.2264,500.84864864864863,418.56
3020,3166006,Senhora de Oliveira,MG,509.73414634146343,586.031007751938,524.4232558139536,574.4219512195122,503.5658914728682
3021,3166105,Senhora do Porto,MG,491.7567567567568,563.6108108108108,532.5216216216216,533.6081081081081,444.3243243243243
3022,3166204,Senhora dos Remédios,MG,492.163440860215,568.3673575129534,520.6839378238342,536.3198924731183,504.66321243523316
3023,3166303,Sericita,MG,492.09811320754716,563.7752136752136,516.1452991452992,530.9877358490565,521.5384615384615
3024,3166402,Seritinga,MG,479.53225806451616,565.6741935483872,521.658064516129,542.758064516129,446.4516129032258
3025,3166501,Serra Azul de Minas,MG,461.5863636363636,529.8130434782609,491.54347826086956,480.2613636363636,425.6521739130435
3026,3166600,Serra da Saudade,MG,497.89,528.4,496.8833333333334,497.35,418.3333333333333
3027,3166709,Serra dos Aimorés,MG,460.9973913043478,533.0065040650406,489.4073170731707,510.0008695652174,462.7642276422764
3028,3166808,Serra do Salitre,MG,479.260625,557.2688235294117,518.6229411764706,522.98375,498.0
3029,3166907,Serrania,MG,492.28928571428577,552.4603448275863,507.9333333333333,530.417261904762,470.0
3030,3166956,Serranópolis de Minas,MG,463.02894736842103,528.8134146341463,491.3292682926829,501.41315789473686,491.4634146341463
3031,3167004,Serranos,MG,482.06499999999994,571.1761904761905,511.6666666666667,512.795,449.5238095238095
3032,3167103,Serro,MG,485.6222727272727,560.2938189845474,513.6520971302429,523.9018181818182,476.6004415011038
3033,3167202,Sete Lagoas,MG,517.7839975475168,589.0385858979354,544.587573042462,566.5181483752299,565.6135566809505
3034,3167301,Silveirânia,MG,497.29555555555555,596.5,536.0204081632653,580.6577777777777,554.6938775510204
3035,3167400,Silvianópolis,MG,498.9684931506849,577.9846153846154,528.9320512820512,549.3328767123288,528.974358974359
3036,3167509,Simão Pereira,MG,496.9261904761905,568.4399999999999,512.4088888888889,523.2714285714286,480.8888888888889
3037,3167608,Simonésia,MG,494.1221518987342,561.743023255814,516.2151162790698,531.0550632911393,504.30232558139534
3038,3167707,Sobrália,MG,492.0589041095891,556.1813333333333,522.4093333333333,549.931506849315,525.8666666666667
3039,3167806,Soledade de Minas,MG,489.5818181818182,584.4061728395062,535.9234567901235,547.4597402597403,546.4197530864197
3040,3167905,Tabuleiro,MG,501.90727272727275,573.35,515.2068965517242,534.689090909091,527.5862068965517
3041,3168002,Taiobeiras,MG,492.6739910313902,567.2847142857142,528.0088571428572,551.7304932735426,508.0571428571429
3042,3168051,Taparuba,MG,469.74736842105267,551.6825,503.98,522.8973684210526,531.0
3043,3168101,Tapira,MG,521.5274999999999,587.5904761904761,533.347619047619,555.6524999999999,563.3333333333334
3044,3168200,Tapiraí,MG,475.61,545.4906976744186,504.1604651162791,496.25249999999994,457.6744186046512
3045,3168309,Taquaraçu de Minas,MG,488.7134615384615,563.7758620689655,520.3793103448276,512.7442307692307,489.6551724137931
3046,3168408,Tarumirim,MG,486.4720930232558,553.4215859030837,513.3656387665199,528.6097674418605,487.6651982378855
3047,3168507,Teixeiras,MG,501.42571428571426,581.5975741239893,527.2242587601079,552.1845714285714,542.5336927223719
3048,3168606,Teófilo Otoni,MG,497.1855525767054,573.748071548351,529.0671045276691,541.2277330950253,519.1335941866964
3049,3168705,Timóteo,MG,528.0351274787536,595.5162715517241,549.5758081896552,585.705835694051,591.1961206896551
3050,3168804,Tiradentes,MG,512.4752873563218,590.6284210526316,544.1605263157895,552.5011494252874,544.3157894736842
3051,3168903,Tiros,MG,495.3011111111111,571.2923076923076,522.9505494505495,528.0555555555555,507.4725274725275
3052,3169000,Tocantins,MG,515.5775590551181,583.3630996309963,531.6376383763837,563.0279527559055,523.0258302583026
3053,3169059,Tocos do Moji,MG,475.7263157894737,528.8730158730159,495.91269841269843,534.7456140350877,455.87301587301585
3054,3169109,Toledo,MG,492.4054545454545,573.338596491228,528.3578947368421,535.4690909090909,496.49122807017545
3055,3169208,Tombos,MG,482.1685185185185,560.3738738738739,513.1414414414414,513.8249999999999,494.05405405405406
3056,3169307,Três Corações,MG,505.74280762564985,584.5424019607843,542.9459967320262,561.9329289428076,527.6143790849674
3057,3169356,Três Marias,MG,500.3316129032258,570.8595054095827,529.5182380216384,535.625,500.9891808346213
3058,3169406,Três Pontas,MG,503.8800200803213,574.7843925233645,533.7961682242991,547.5474899598394,529.7757009345794
3059,3169505,Tumiritinga,MG,462.7633663366336,540.4736363636364,498.7972727272727,502.80891089108906,442.54545454545456
3060,3169604,Tupaciguara,MG,492.4101485148515,566.6742990654205,519.2476635514018,532.0603960396039,513.5981308411215
3061,3169703,Turmalina,MG,494.2528260869565,573.4139059304704,530.7396728016361,538.4673913043479,492.3517382413088
3062,3169802,Turvolândia,MG,501.39500000000004,563.0539682539683,519.7047619047619,563.0300000000001,515.8730158730159
